OBJECTID,PCPC_NUM,GLOBALID,NAME,P_DIST,ST_EXT,PT_ADD,ZIP,SURVEY_YEAR,GLA,GLA_2003,GLA_1995,COMM_COUNT,COMM_COUNT_2003,COMM_COUNT_1995,OCC_COUNT,VAC_COUNT,VAC_RATE,VAC_RATE_2003,VAC_RATE_1995,CORRIDOR_TYPE,PHYS_CHAR,AGE,STAGE,STAGE_2003,STAGE_1995,COND_PUB,COND_PRIV,STORE_MIX,COND_SUM,COND_SUM_2003,COND_SUM_1995,CRM_ORG,SS_DIST,CDC_TAX_CREDIT,E_ZONES,FY12_MGMT,FY12_MGMT_AMOUNT,FY13_MGMT,FY13_MGMT_AMOUNT,FY14_MGMT,FY14_MGMT_AMOUNT,FY15_MGMT,FY15_MGMT_AMOUNT,FY16_MGMT,FY16_MGMT_AMOUNTS,FY12_CLEANING,FY12_CLEANING_AMOUNT,FY13_CLEANING,FY13_CLEANING_AMOUNT,FY14_CLEANING,FY14_CLEANING_AMOUNT,FY15_CLEANING,FY15_CLEANING_AMOUNT,FY11_SIP,FY11_SIP_TOTAL,FY12_SIP,FY12_SIP_TOTAL,FY13_SIP,FY13_SIP_TOTAL,FY14_SIP,FY14_SIP_TOTAL,FY15_SIP,FY15_SIP_TOTAL,FY14_IS,FY14_IS_AMOUNT,FY15_IS,FY15_IS_AMOUNT,FY08_11_SBP_CITY,FY08_11_SBP_TOTAL,FY12_15_SBP_CITY,FY12_15_SBP_TOTAL,FY16_19_SBP_CITY,FY16_19_SBP_TOTAL,FY08_11_PD,FY12_15_PD,FY16_19_PD,Shape__Area,Shape__Length
1,151,69c84823-37fa-4d2a-b8af-08a0ff7006eb,2nd and Fairmount,Central,I953rd/Laurel to Green,725 N. Second Street,19123,2012,"130,000",,"65,000",83,,54,68,15,18.10%,,63.00%,6,1,1860,4,,4,2,2,3,7,,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,182959.94140625,1989.15710241836
2,152,d5cd06ce-0734-4f27-923e-7fd5e4da2865,2nd and Girard,Central,HowardLawrence/ThompsonLaurel,1100 N. Second Street,19123,2012,"270,000","103,662","75,000",124,65,67,95,29,23.40%,14.00%,35.80%,2,5,1890,2,4,1,2,2,1,5,8,9,Office of Business Services,,,,,,,,,,,,,,,,,,,,,,,,2,25900,1,2135,,,,,,,1,50000,,,,,,,,,,348399.4375,3265.15402421792
3,154,c46b6353-b607-44a6-bab7-e9890b5b5b83,6th and Germantown,Lower North,5th6th/SusquehannaBerks,2000 Germantown Avenue,19122,2012,"84,000","114,000",,16,33,,14,2,12.50%,15.20%,,2,3,1990,3,4,,3,2,3,8,10,,APM,,APM,"ASEZ, NCEZ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,65351.1015625,1445.68186618815
4,179,e4acb303-210d-474f-86af-218713963033,"Broad, Lehigh, & Glenwood",North,13th16th/TorontoYork,2701 N. Broad Street,19132,2016,"183,000","117,000",,49,21,,47,2,4.1%,23.80%,,2,5,1990,4,4,,2,3,3,8,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,457349.22265625,5353.32150209691
5,180,f8999bba-1c3e-49db-bdff-efd54dffec22,Germantown and Lehigh,Lower North,7th12th/CambriaCumberland,2649 Germantown Avenue,19133,2016,"255,000","308,000","215,000",141,196,148,94,47,33.3%,23.00%,18.90%,2,1,1900,4,3,1,2,3,2,7,8,7,The Village of Arts & Humanities,,Village,NCEZ (2500&2600 blocks only),,,,,,,TCMP & NCEZ,75000,TCMP & NCEZ,75000,Strategic Plan Cleaning Grant,30000,Corridor Cleaning Program,41000,Corridor Cleaning Program,35000,Corridor Cleaning Program,28500,2,17220,1,12000,1,8300,1,8300,,,,,,,,,,4428853.5,,,PCPC  Economic Dev Strategic Plan,,,214813.55078125,3906.47382484133
6,131,403e2d6b-25b0-480f-bf7e-435d2a4616ec,40th and Girard,West Park,UnionLeidy/ParksidePoplar,3962 W. Girard Avenue,19104,2017,"15,000","88,000","55,000",16,44,60,12,4,"25.0%
",55.00%,60.00%,1,1,1910,3,3,3,3,4,4,11,9,10,Office of Business  Services,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20000,40000,,,,,,90817.421875,1692.71849890255
7,141,b7a595cf-9abd-41dd-bbe0-27ac33ffcd0c,Fairmount/19th-25th,Central,19th25th/AspenWallace,2130 Fairmount Ave,19130,2012,"120,000","123,000","82,000",69,82,63,64,5,7.20%,6.10%,9.50%,2,1,1880,1,4,2,2,1,1,4,5,7,Fairmount CDC & Spring Garden CDC,,Fairmount CDC & Spring Garden CDC,,,,,,,,,,,,,,,,,,,,,,4,10172,2,3453,1,2261,2,20000,,,,,426092,426092,,,,,,,,184642.53515625,2973.47857767847
8,143,358173e9-1a3c-426f-b66c-50c6ac5b3ddd,Spring Garden/16th-23rd,Central,16th23rd/GreenButtonwood,1941 Spring Garden Street,19130,2012,"30,000","62,000","17,000",46,29,15,44,2,4.30%,14.70%,6.70%,1,1,1880,1,2,4,2,1,4,7,6,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,393553.2109375,3176.41038857989
9,144,eb875789-9f55-4c54-a1d1-271ce3636ea9,Spring Garden/9th-13th ,Central,9th13th/GreenButtonwood,1201 Spring Garden Street,19123,2012,"65,000",,,51,,,36,15,29.40%,,,1,1,1880,4,,,3,3,4,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,201020.625,1975.55458373844
10,147,85742dc5-9fcf-4fae-ad88-873350a06c96,Broad and Fairmount,Central,13th18th/BrownWallace,684 N. Broad Street,19130,2012,"120,000","155,584","55,000",54,77,35,32,22,40.70%,32.50%,25.70%,1,1,1880,3,3,4,3,3,4,10,10,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,256103.859375,2923.81705339972
