address,zip,name,num_stores,quality
725 N. Second Street,19123.0,2nd and Fairmount,83.0,3.0
1100 N. Second Street,19123.0,2nd and Girard,124.0,1.0
2000 Germantown Avenue,19122.0,6th and Germantown,16.0,3.0
2701 N. Broad Street,19132.0,"Broad, Lehigh, & Glenwood",49.0,3.0
2649 Germantown Avenue,19133.0,Germantown and Lehigh,141.0,2.0
3962 W. Girard Avenue,19104.0,40th and Girard,16.0,4.0
2130 Fairmount Ave,19130.0,Fairmount/19th-25th,69.0,1.0
1941 Spring Garden Street,19130.0,Spring Garden/16th-23rd,46.0,4.0
1201 Spring Garden Street,19123.0,Spring Garden/9th-13th ,51.0,4.0
684 N. Broad Street,19130.0,Broad and Fairmount,54.0,4.0
511 N. Broad Street,19130.0,Broad and Spring Garden,45.0,4.0
1000 Ridge Avenue,19123.0,Callowhill East,50.0,4.0
501 Spring Garden Street,19123.0,Spring Garden/2nd-9th,36.0,2.0
2844 N. 5th Street,19133.0,5th and Lehigh,147.0,2.0
217 W. Lehigh Avenue,19133.0,2nd and Lehigh,31.0,1.0
1714 Cherry Street,19103.0,Parkway/Logan Circle,60.0,3.0
741 S. 4th Street,19147.0,South 4th Street ,76.0,2.0
901 Washington Ave,19147.0,9th Street - Italian Market,334.0,2.0
3720 Main Street,19127.0,Wissahickon,38.0,3.0
8301 Henry Avenue,19128.0,Andorra Shopping Center,43.0,1.0
600 Washington Ave,19147.0,6th and Washington,57.0,2.0
4201 Ridge Avenue,19129.0,East Falls,60.0,2.0
1100 S. Front Street,19147.0,Central Waterfront/Washington,81.0,4.0
14 E. Snyder Avenue,19148.0,Snyder Plaza and Columbus Commons,51.0,1.0
5235 Harbison Ave,19124.0,Harbison and Torresdale ,21.0,3.0
34 S. 11th Street,19107.0,Market East,941.0,3.0
300 Oregon Avenue,19148.0,Whitman Plaza and vicinity,91.0,1.0
7275 Rising Sun Ave,19111.0,Five Points,135.0,1.0
935 N. Broad Street,19123.0,Broad and Girard,110.0,2.0
1800 W. Girard Avenue,19130.0,Girard and Ridge,49.0,4.0
5040 City Avenue,19131.0,City Avenue/50th-52nd,30.0,2.0
4400 City Avenue,19131.0,City Ave and Belmont vicinity,68.0,1.0
4160 Monument Road,19131.0,Pathmark Super Center,10.0,2.0
3967 Ford Road,19131.0,Wynnefield Heights,18.0,2.0
3600 Chestnut Street,19104.0,36th Street and vicinity,104.0,2.0
4001 Walnut Street,19104.0,40th Street and vicinity,119.0,1.0
4061 Lancaster Avenue,19104.0,40th and Lancaster,203.0,3.0
2664 S. Percy Street,19148.0,Oregon Ave/5th-13th,62.0,2.0
7980 Oxford Ave,19111.0,Fox Chase,64.0,2.0
2201Cottman Ave,19152.0,Cottman and the Boulevard,209.0,1.0
7201 Roosevelt Blvd,19149.0,Roosevelt/Cottman-Tyson,62.0,1.0
1901 Callowhill Street,19130.0,Callowhill West,42.0,2.0
132 N. 10th Street,19107.0,Chinatown,220.0,1.0
1001 S. Broad Street,19147.0,Broad and Washington,94.0,3.0
1743 South Street,19146.0,South Street/16th-21st,57.0,2.0
2229 Grays Ferry Avenue,19146.0,South and Grays Ferry,53.0,1.0
255 Market Street,19106.0,Old City,395.0,2.0
6200 Woodland Avenue,19142.0,Woodland Avenue,228.0,2.0
5500 Chester Avenue,19143.0,Chester Avenue,66.0,2.0
2301 Walnut Street,19103.0,23rd and Walnut,19.0,2.0
3000 Market Street,19104.0,30th Street,48.0,2.0
1600 N. Broad Street,19121.0,Broad and Cecil B. Moore,102.0,2.0
2201 Ridge Avenue,19121.0,Ridge and Cecil B. Moore,122.0,4.0
201 S. Columbus Blvd,19106.0,Central Waterfront/Penns Landing,9.0,2.0
2200 N. Broad Street,19132.0,Broad and Susquehanna,103.0,3.0
2901 N. 22nd Street,19132.0,N 22nd Street/Hope Plaza,145.0,2.0
3450 Fox Street,19129.0,Hunting Park West,28.0,1.0
2000 S. Broad Street,19148.0,Broad and Snyder,162.0,3.0
238 Moore Street,19148.0,Pennsport Mall/South Second,49.0,3.0
3699 Aramingo Avenue,19134.0,Aramingo Avenue,150.0,1.0
1501 E. Erie Avenue,19124.0,Erie Torresdale,73.0,3.0
1701 Chestnut Street,19103.0,Market West,961.0,2.0
327 South Street,19147.0,South Street/Front-8th,422.0,1.0
1001 South Street,19147.0,South Street/8th-12th,63.0,1.0
801 N. 48th Street,19139.0,48th and Brown,3.0,4.0
608 N. Delaware Ave,19123.0,Central Waterfront/Spring Garden,38.0,2.0
1575 N. 52nd Street,19131.0,Park West Town Center,20.0,1.0
"5601 Vine Street

e Stre5601 Vine Street
et",19139.0,Progress Haddington Plaza,15.0,2.0
1300 N. 52nd Street,19131.0,North 52nd Street,111.0,3.0
6014 Lansdowne Avenue,19151.0,Lansdowne Avenue,82.0,3.0
5648 Lancaster Avenue,19131.0,54006000 Lancaster Ave,42.0,2.0
4825 Lancaster Avenue,19131.0,Lancaster and Girard,56.0,3.0
"1923 North 63rd Street
",19151.0,63rd and Lancaster,34.0,3.0
1901 N. 54th Street,19131.0,54th and Berks,45.0,3.0
5026 Wynnefield Avenue,19131.0,Bryn Mawr and Wynnefield,10.0,3.0
2463 N. 54th Street,19066.0,54th and City Avenue,25.0,4.0
2016 Penrose Avenue,19145.0,Penrose and Packer,11.0,4.0
5000 S. Broad Street ,19112.0,Navy Yard,2.0,2.0
8300 Bustleton Ave,19152.0,Bells Corner,29.0,2.0
8100 Roosevelt Blvd,19152.0,Pennypack Circle,45.0,1.0
1901 W. Oregon Avenue,19145.0,West Oregon,31.0,2.0
2300 W. Oregon Avenue,19145.0,Quartermaster Plaza and vicinity,81.0,1.0
4800 Woodland Avenue,19143.0,49th and Woodland,43.0,3.0
5716 Baltimore Avenue,19143.0,58th and Baltimore,20.0,2.0
5500 Baltimore Avenue,19143.0,55th and Baltimore,30.0,4.0
5000 Baltimore Avenue,19143.0,50th and Baltimore,81.0,2.0
4600 Baltimore Avenue,19143.0,46th and Baltimore,58.0,2.0
7700 City Avenue,19151.0,City Avenue Shopping Center,31.0,1.0
7538 Haverford Avenue,19151.0,City and Haverford,76.0,1.0
