name,lat,lng,category,mode,dist,time
Broad and Morris,39.928034999999994,-75.16895500000003,farmers_markets,transit,-1.0,15.0
Fitler Square Park,39.954158,-75.177823,farmers_markets,transit,-1.0,7.0
Fairmount,39.967313,-75.17398299999998,farmers_markets,transit,-1.0,14.0
University Square,39.953142,-75.194786,farmers_markets,transit,-1.0,11.0
Christ Church,39.950004,-75.150071,farmers_markets,transit,-1.0,13.0
Walnut Hill,39.958304999999996,-75.21352399999998,farmers_markets,transit,-1.0,15.0
Rittenhouse,39.950131,-75.17066700000002,farmers_markets,transit,-1.0,4.0
Broad and South,39.943386,-75.16529200000002,commercial,transit,-1.0,9.0
23rd and Walnut,39.951499,-75.17868100000003,commercial,transit,-1.0,7.0
Point Breeze Avenue,39.93547,-75.178862,commercial,transit,-1.0,14.0
Washington Avenue West,39.939361,-75.176441,commercial,transit,-1.0,10.0
40th Street and vicinity,39.954556,-75.202924,commercial,transit,-1.0,15.0
30th Street,39.954473,-75.183926,commercial,transit,-1.0,8.0
36th Street and vicinity,39.954376,-75.195549,commercial,transit,-1.0,11.0
5th and Delancey,39.944551000000004,-75.150318,commercial,transit,-1.0,14.0
Market West,39.951743,-75.16891600000002,commercial,transit,-1.0,3.0
Spring Garden/9th-13th ,39.961719,-75.157705,commercial,transit,-1.0,13.0
Broad and Girard,39.971211,-75.15900500000002,commercial,transit,-1.0,13.0
Fairmount/19th-25th,39.967074,-75.173302,commercial,transit,-1.0,14.0
Broad and Spring Garden,39.961929999999995,-75.16119,commercial,transit,-1.0,10.0
Pine Street,39.944721,-75.159953,commercial,transit,-1.0,10.0
Parkway/Logan Circle,39.955918,-75.168309,commercial,transit,-1.0,8.0
Market East,39.950891999999996,-75.159048,commercial,transit,-1.0,8.0
South and Grays Ferry,39.945052000000004,-75.179601,commercial,transit,-1.0,10.0
Callowhill East,39.95892,-75.155445,commercial,transit,-1.0,12.0
South Street/16th-21st,39.944477,-75.170825,commercial,transit,-1.0,5.0
Broad and Washington,39.938355,-75.165492,commercial,transit,-1.0,12.0
South Street/8th-12th,39.94265,-75.158631,commercial,transit,-1.0,12.0
Chinatown,39.95460900000001,-75.156358,commercial,transit,-1.0,13.0
Broad and Fairmount,39.966699,-75.16076600000002,commercial,transit,-1.0,12.0
Callowhill West,39.960946,-75.170648,commercial,transit,-1.0,11.0
Old City,39.950287,-75.145256,commercial,transit,-1.0,14.0
Broad and Snyder,39.925084999999996,-75.17002099999998,commercial,transit,-1.0,15.0
46th Street and vicinity,39.956812,-75.213909,commercial,transit,-1.0,14.0
Broad and Morris,39.929093,-75.16827099999998,commercial,transit,-1.0,13.0
52nd Street,39.958026000000004,-75.224926,commercial,transit,-1.0,15.0
Spring Garden/16th-23rd,39.963912,-75.17078199999997,commercial,transit,-1.0,12.0
YOUTHBUILD PHILADELPHIA CHARTER SCHOOL,39.9729064903214,-75.15863286979659,schools,transit,-1.0,14.0
FOLK ARTS-CULTURAL TREASURES CHARTER SCHOOL,39.9589836872666,-75.1561225600225,schools,transit,-1.0,11.0
ARCHITECTURE AND DESIGN CHARTER SCHOOL,39.948891999853295,-75.1522490007144,schools,transit,-1.0,11.0
PHILADELPHIA PERFORMING ARTS CHARTER SCHOOL,39.9578909273953,-75.1663226360723,schools,transit,-1.0,10.0
PHILADELPHIA ELECTRICAL AND TECHNOLOGY CHARTER SCHOOL,39.9506078902696,-75.1651108195508,schools,transit,-1.0,5.0
PEOPLE FOR PEOPLE CHARTER SCHOOL,39.9681014097758,-75.16067476933041,schools,transit,-1.0,13.0
ACADEMY AT PALUMBO,39.9401978697975,-75.1619491496587,schools,transit,-1.0,12.0
BENJAMIN FRANKLIN HIGH SCHOOL,39.9635299998603,-75.1616399993992,schools,transit,-1.0,11.0
GATEWAY TO COLLEGE - COMMUNITY COLLEGE OF PHILADELPHIA,39.9628357147828,-75.1666280688128,schools,transit,-1.0,12.0
CHESTER A. ARTHUR SCHOOL,39.9418644651471,-75.17589862561759,schools,transit,-1.0,9.0
SOUTH PHILADELPHIA HIGH SCHOOL,39.9238987005212,-75.16910650068891,schools,transit,-1.0,15.0
JULIA R. MASTERMAN SCHOOL,39.963450899886496,-75.16573278273202,schools,transit,-1.0,12.0
SPRING GARDEN SCHOOL,39.965161549612496,-75.1561404206783,schools,transit,-1.0,14.0
RUSSELL BYERS CHARTER SCHOOL,39.95594921951221,-75.17155063941871,schools,transit,-1.0,8.0
SOUTH PHILADELPHIA HIGH SCHOOL,39.9238987005212,-75.16910650068891,schools,transit,-1.0,15.0
INDEPENDENCE CHARTER SCHOOL,39.9449388777306,-75.1690056208506,schools,transit,-1.0,5.0
HIGH SCHOOL FOR CREATIVE AND PERFORMING ARTS SCHOOL,39.93941992019922,-75.16548375023379,schools,transit,-1.0,12.0
ANDREW JACKSON SCHOOL,39.9346230003901,-75.1634809995532,schools,transit,-1.0,14.0
GENERAL GEORGE A. MCCALL SCHOOL,39.944598132546794,-75.152366532041,schools,transit,-1.0,14.0
FRANKLIN LEARNING CENTER,39.9650489996572,-75.1627529996906,schools,transit,-1.0,13.0
PHILADELPHIA OIC WORKFORCE ACADEMY,39.972966000493,-75.15872099941821,schools,transit,-1.0,14.0
PHILADELPHIA VIRTUAL ACADEMY,39.961021589463,-75.1626440495439,schools,transit,-1.0,12.0
UNIVERSAL INSTITUTE CHARTER SCHOOL,39.9408997340373,-75.16769048137179,schools,transit,-1.0,9.0
PHILADELPHIA VIRTUAL ACADEMY,39.961021589463,-75.1626440495439,schools,transit,-1.0,12.0
GEORGE W. CHILDS SCHOOL,39.9346369997854,-75.1704930003667,schools,transit,-1.0,12.0
FREIRE CHARTER SCHOOL,39.9514322380152,-75.1580562211964,schools,transit,-1.0,9.0
MASTERY CHARTER SCHOOL AT LENFEST,39.94952698141171,-75.14701419190821,schools,transit,-1.0,13.0
"MATH, CIVICS AND SCIENCES CHARTER SCHOOL",39.9611519963734,-75.1609555297349,schools,transit,-1.0,12.0
BEN FRANKLIN HIGH SCHOOL EOP,39.9629032996421,-75.1593020014646,schools,transit,-1.0,12.0
FREIRE CHARTER SCHOOL,39.9524728898904,-75.17442258950321,schools,transit,-1.0,6.0
ALBERT M. GREENFIELD SCHOOL,39.9522723404091,-75.1773920597576,schools,transit,-1.0,7.0
