,name,lat,lng,category,mode,dist,time
0,Germantown & Schoolhouse,40.034365,-75.17271,farmers_markets,bicycle,1.87,14.13
1,Chestnut Hill Farmers’ Market,40.067706,-75.19733599999998,farmers_markets,bicycle,1.18,9.43
2,Mt. Airy,40.046377,-75.19591199999998,farmers_markets,bicycle,0.79,6.3
3,Germantown/Gorgas-Upsal,40.052256,-75.185148,commercial,pedestrian,0.47,13.38
4,Germantown/Roumfort-Gorgas,40.0597,-75.189899,commercial,pedestrian,0.52,14.7
5,Mount Pleasant/Cresheim-Emlen,40.0544,-75.194295,commercial,pedestrian,0.23,6.68
6,Chew and Washington,40.050817,-75.17326,commercial,bicycle,1.33,10.18
7,Market Square - Chestnut Hill,40.072473,-75.194429,commercial,bicycle,1.58,13.57
8,Germantown/Upsal-High,40.042776,-75.17989,commercial,bicycle,1.2,9.9
9,Germantown/Gorgas-Upsal,40.052256,-75.185148,commercial,bicycle,0.47,4.32
10,Germantown/Roumfort-Gorgas,40.0597,-75.189899,commercial,bicycle,0.52,5.35
11,Pelham Plaza,40.043054,-75.19034,commercial,bicycle,1.0,7.27
12,Mount Pleasant/Cresheim-Emlen,40.0544,-75.194295,commercial,bicycle,0.23,2.27
13,Chew and Phil Ellena,40.055958,-75.181348,commercial,bicycle,0.75,6.42
14,Stenton and Mt. Airy,40.06882,-75.180888,commercial,bicycle,1.37,11.62
15,Central Germantown,40.03406,-75.176034,commercial,bicycle,1.89,14.55
16,Chew and Chelten,40.0447,-75.16553499999998,commercial,bicycle,1.96,14.72
17,Carpenter/McCallum-Sherman,40.046379,-75.1956,commercial,bicycle,0.78,6.08
18,HENRY H. HOUSTON SCHOOL,40.0591252651313,-75.194819995356,schools,pedestrian,0.45,12.8
19,ANNA B. DAY SCHOOL,40.058406820418895,-75.1683346406611,schools,bicycle,1.74,14.02
20,FRANKLIN S. EDMONDS SCHOOL,40.072961257233096,-75.1709998691682,schools,bicycle,1.76,14.52
21,ELEANOR C. EMLEN SCHOOL,40.05436289023661,-75.1779057294733,schools,bicycle,0.98,8.17
22,CAMELOT THERAPEUTIC DAY SCHOOL,40.0335546772673,-75.17623601067679,schools,bicycle,1.91,14.63
23,HILL-FREEDMAN WORLD ACADEMY,40.071214298362,-75.1751743756385,schools,bicycle,1.58,13.03
24,HENRY H. HOUSTON SCHOOL,40.0591252651313,-75.194819995356,schools,bicycle,0.45,4.28
25,JENKS ACADEMY FOR ARTS AND SCIENCES,40.0747980046461,-75.20336828536409,schools,bicycle,1.77,14.98
26,CHARLES W. HENRY SCHOOL,40.0462577099047,-75.1965877592889,schools,bicycle,0.86,7.75
27,ANNA L. LINGELBACH SCHOOL,40.037084130489,-75.189613639261,schools,bicycle,1.48,11.27
28,MASTERY CHARTER SCHOOL AT PICKETT,40.0321362513943,-75.1807087298016,schools,bicycle,2.02,14.98
29,THEODORE ROOSEVELT SCHOOL,40.0482382288608,-75.17505705050701,schools,bicycle,1.23,9.82
30,Mt. Pleasant Medical Center,40.067482,-75.179305,medical,bicycle,1.25,10.48
31,Mount Airy Playground,40.057999,-75.187871,recreation,pedestrian,0.37,10.4
