,name,lat,lng,category,mode,dist,time
0,Rittenhouse,39.950131,-75.17066700000002,farmers_markets,bicycle,0.99,8.35
1,Fairmount,39.967313,-75.17398299999998,farmers_markets,bicycle,1.82,14.98
2,Fitler Square Park,39.954158,-75.177823,farmers_markets,bicycle,0.93,7.55
3,Headhouse,39.936212,-75.155973,farmers_markets,bicycle,1.44,12.62
4,22nd & Tasker,39.932161,-75.18141800000002,farmers_markets,bicycle,0.83,7.97
5,Broad and Morris,39.928035,-75.16895500000003,farmers_markets,bicycle,1.55,12.8
6,University Square,39.953142,-75.194786,farmers_markets,bicycle,1.6,12.17
7,South and Grays Ferry,39.945052,-75.179601,commercial,pedestrian,0.28,7.82
8,Point Breeze Avenue,39.93547,-75.178862,commercial,pedestrian,0.5,13.73
9,Washington Avenue West,39.939361,-75.176441,commercial,pedestrian,0.31,8.9
10,Fairmount/19th-25th,39.967074,-75.173302,commercial,bicycle,1.83,14.9
11,Spring Garden/16th-23rd,39.963912,-75.17078199999997,commercial,bicycle,1.78,14.82
12,Parkway/Logan Circle,39.955918,-75.168309,commercial,bicycle,1.62,12.88
13,South 4th Street ,39.939155,-75.14956,commercial,bicycle,1.67,14.57
14,9th Street - Italian Market,39.936222,-75.158424,commercial,bicycle,1.32,12.12
15,6th and Washington,39.934656,-75.154656,commercial,bicycle,1.58,13.88
16,Market East,39.950892,-75.159048,commercial,bicycle,1.85,14.17
17,36th Street and vicinity,39.954376,-75.195549,commercial,bicycle,1.74,13.43
18,Callowhill West,39.960946,-75.170648,commercial,bicycle,1.64,13.48
19,Broad and Washington,39.938355,-75.165492,commercial,bicycle,0.87,8.2
20,South Street/16th-21st,39.944477,-75.170825,commercial,bicycle,0.79,6.23
21,South and Grays Ferry,39.945052,-75.179601,commercial,bicycle,0.28,2.38
22,23rd and Walnut,39.951499,-75.17868100000003,commercial,bicycle,0.77,6.18
23,30th Street,39.954473,-75.183926,commercial,bicycle,1.48,12.02
24,Broad and Snyder,39.925085,-75.17002099999998,commercial,bicycle,1.78,14.47
25,Market West,39.951743,-75.16891600000002,commercial,bicycle,1.23,10.13
26,South Street/Front-8th,39.941638,-75.148095,commercial,bicycle,1.9,14.18
27,South Street/8th-12th,39.94265,-75.158631,commercial,bicycle,1.35,10.2
28,49th and Woodland,39.941741,-75.211608,commercial,bicycle,1.91,14.73
29,Reed and Passyunk,39.931789,-75.160886,commercial,bicycle,1.62,14.3
30,Broad and Morris,39.929093,-75.16827099999998,commercial,bicycle,1.48,12.32
31,20th and Passyunk,39.92339000000001,-75.180097,commercial,bicycle,1.44,12.5
