,name,lat,lng,category,mode,dist,time
0,Germantown Kitchen Garden,40.034987,-75.167077,farmers_markets,bicycle,1.48,12.12
1,Germantown & Schoolhouse,40.034365,-75.17271,farmers_markets,bicycle,1.57,11.72
2,Park and Tabor,40.038046,-75.143757,farmers_markets,bicycle,1.66,13.05
3,Grumblethorpe House,40.032483,-75.168089,farmers_markets,bicycle,1.77,14.33
4,West Oak Lane,40.064285,-75.153512,farmers_markets,bicycle,1.15,9.17
5,Chelten Ave/Ogontz-Wister,40.052073,-75.157097,commercial,pedestrian,0.41,11.53
6,Chew and Washington,40.050817,-75.17326,commercial,bicycle,0.82,5.87
7,Germantown/Upsal-High,40.042776,-75.17989,commercial,bicycle,1.36,10.72
8,Germantown/Gorgas-Upsal,40.052256,-75.185148,commercial,bicycle,1.67,12.97
9,19th and Cheltenham,40.066841,-75.14518699999998,commercial,bicycle,1.67,12.92
10,Godfrey and Ogontz,40.047767,-75.150712,commercial,bicycle,0.85,6.62
11,72nd and Ogontz,40.064092,-75.152578,commercial,bicycle,1.2,9.78
12,Cheltenham & Ogontz,40.070138,-75.156856,commercial,bicycle,1.6,13.0
13,68th and Ogontz,40.057709,-75.14886,commercial,bicycle,1.03,8.12
14,Ogontoz and Champlost,40.044877,-75.149939,commercial,bicycle,1.08,8.17
15,Broad and Olney,40.040376,-75.14376999999998,commercial,bicycle,1.67,13.35
16,Broad and Stenton/Godfrey,40.047128,-75.14246700000002,commercial,bicycle,1.26,10.5
17,Chelten Ave/Ogontz-Wister,40.052073,-75.157097,commercial,bicycle,0.41,3.77
18,Chew and Phil Ellena,40.055958,-75.181348,commercial,bicycle,1.39,11.05
19,The Shoppes at LaSalle,40.042488,-75.15906700000002,commercial,bicycle,0.77,6.25
20,Stenton and Mt. Airy,40.06882,-75.180888,commercial,bicycle,1.81,14.83
21,Stenton and Washington Lane,40.059817,-75.165429,commercial,bicycle,0.83,7.05
22,Central Germantown,40.03406,-75.176034,commercial,bicycle,1.53,11.55
23,Chew and Chelten,40.0447,-75.16553499999998,commercial,bicycle,0.57,4.28
24,Old York Road and Oak Lane,40.053901,-75.140866,commercial,bicycle,1.36,10.85
25,IMHOTEP INSTITUTE CHARTER HIGH SCHOOL,40.0494270004526,-75.1547169995902,schools,pedestrian,0.52,14.7
26,MASTERY CHARTER SCHOOL AT PASTORIUS,40.0482079997674,-75.1614239994098,schools,pedestrian,0.25,7.0
27,ANNA B. DAY SCHOOL,40.058406820418895,-75.1683346406611,schools,bicycle,0.82,7.02
28,ELLWOOD SCHOOL,40.0550249498537,-75.1385380940791,schools,bicycle,1.53,12.12
29,ELEANOR C. EMLEN SCHOOL,40.05436289023661,-75.1779057294733,schools,bicycle,1.23,9.43
30,PHILADELPHIA HIGH SCHOOL FOR GIRLS,40.0387049134426,-75.1452251593178,schools,bicycle,1.57,12.18
31,CAMELOT THERAPEUTIC DAY SCHOOL,40.0335546772673,-75.17623601067679,schools,bicycle,1.55,11.63
32,BUILDING 21,40.0536310003,-75.1524810003661,schools,bicycle,0.71,5.97
33,CENTRAL HIGH SCHOOL,40.0372850996777,-75.1507482501065,schools,bicycle,1.49,11.67
34,JULIA W. HOWE SCHOOL,40.0413185655449,-75.1422093713412,schools,bicycle,1.63,12.9
35,MARTIN LUTHER KING HIGH SCHOOL,40.056462024960496,-75.16167785536359,schools,bicycle,0.66,7.07
36,PARKWAY NORTHWEST HIGH SCHOOL,40.0564530955096,-75.1651703669058,schools,bicycle,0.79,7.65
37,JOSEPH PENNELL SCHOOL,40.0433940035014,-75.1507814774704,schools,bicycle,1.05,8.05
38,SAMUEL PENNYPACKER SCHOOL,40.0652550495601,-75.15894649056241,schools,bicycle,1.32,10.33
39,GENERAL LOUIS WAGNER SCHOOL,40.0517474803904,-75.1476796206116,schools,bicycle,1.09,8.95
40,OMBUDSMAN NORTHWEST,40.0559490453277,-75.15647125520358,schools,bicycle,0.6,4.65
41,JAMES LOGAN SCHOOL,40.0308530602314,-75.1520599505873,schools,bicycle,1.79,13.55
42,IMHOTEP INSTITUTE CHARTER HIGH SCHOOL,40.0494270004526,-75.1547169995902,schools,bicycle,0.56,4.42
43,MASTERY CHARTER SCHOOL AT PASTORIUS,40.0482079997674,-75.1614239994098,schools,bicycle,0.25,2.18
44,MASTERY CHARTER SCHOOL AT PICKETT,40.0321362513943,-75.1807087298016,schools,bicycle,1.73,13.18
45,PRINCE HALL SCHOOL,40.0477074202454,-75.1495605206067,schools,bicycle,0.91,7.08
46,THEODORE ROOSEVELT SCHOOL,40.0482382288608,-75.17505705050701,schools,bicycle,0.99,8.2
47,WILLIAM ROWEN SCHOOL,40.058749817373794,-75.1485660747121,schools,bicycle,1.05,8.15
48,WEST OAK LANE CHARTER SCHOOL,40.0595120027579,-75.1634134086327,schools,bicycle,0.83,7.07
49,WIDENER MEMORIAL SCHOOL,40.0367059998385,-75.1465980005368,schools,bicycle,1.54,11.87
50,Einstein Medical Center - Philadelphia,40.036848,-75.141589,medical,bicycle,1.85,14.33
51,Germantown Community Health Center,40.031971999999996,-75.169764,medical,bicycle,1.69,14.77
52,Health Center 9,40.048776000000004,-75.133255,medical,bicycle,1.74,13.6
53,Covenant House Health Services,40.033541,-75.165651,medical,bicycle,1.65,13.22
54,Mt. Pleasant Medical Center,40.067482,-75.179305,medical,bicycle,1.68,13.63
55,Awbury Park and Recreation Center,40.053652,-75.163177,recreation,pedestrian,0.26,6.88
56,Lonnie Young Recreation Center of East Germantown,40.050035,-75.159207,recreation,pedestrian,0.27,7.45
57,Waterview Recreation Center,40.04515900000001,-75.167753,recreation,pedestrian,0.51,13.77
58,Awbury Park and Recreation Center,40.053652,-75.163177,recreation,bicycle,0.26,2.3
59,Price Street Play Lot,40.033071,-75.180103,recreation,bicycle,1.69,13.02
