,name,lat,lng,category,mode,dist,time
0,Germantown Kitchen Garden,40.034987,-75.167077,farmers_markets,bicycle,1.63,12.98
1,Germantown & Schoolhouse,40.034365,-75.17271,farmers_markets,bicycle,1.79,14.55
2,Park and Tabor,40.038046,-75.143757,farmers_markets,bicycle,1.28,10.0
3,West Oak Lane,40.064285,-75.153512,farmers_markets,bicycle,1.09,8.97
4,Godfrey and Ogontz,40.047767,-75.150712,commercial,pedestrian,0.34,9.58
5,Chelten Ave/Ogontz-Wister,40.052073,-75.157097,commercial,pedestrian,0.2,5.75
6,Chew and Washington,40.050817,-75.17326,commercial,bicycle,1.38,11.0
7,19th and Cheltenham,40.066841,-75.14518699999998,commercial,bicycle,1.44,11.1
8,Godfrey and Ogontz,40.047767,-75.150712,commercial,bicycle,0.34,2.77
9,72nd and Ogontz,40.064092,-75.152578,commercial,bicycle,1.18,9.47
10,Cheltenham & Ogontz,40.070138,-75.156856,commercial,bicycle,1.54,12.65
11,68th and Ogontz,40.057709,-75.14886,commercial,bicycle,0.76,6.0
12,Ogontoz and Champlost,40.044877,-75.149939,commercial,bicycle,0.57,4.32
13,Broad and Olney,40.040376,-75.14376999999998,commercial,bicycle,1.24,9.68
14,Broad and Stenton/Godfrey,40.047128,-75.14246700000002,commercial,bicycle,0.77,6.23
15,Chelten Ave/Ogontz-Wister,40.052073,-75.157097,commercial,bicycle,0.2,1.72
16,The Shoppes at LaSalle,40.042488,-75.15906700000002,commercial,bicycle,0.75,6.45
17,Stenton and Washington Lane,40.059817,-75.165429,commercial,bicycle,0.96,8.68
18,Central Germantown,40.03406,-75.176034,commercial,bicycle,1.82,14.37
19,Chew and Chelten,40.0447,-75.16553499999998,commercial,bicycle,0.86,7.1
20,Broad and Logan/Wyoming,40.026891,-75.14701,commercial,bicycle,1.98,13.97
21,5th and Olney,40.036287,-75.13051800000002,commercial,bicycle,1.95,14.35
22,5th & Spencer,40.042944,-75.12906,commercial,bicycle,1.68,12.87
23,Old York Road and Oak Lane,40.053901,-75.140866,commercial,bicycle,1.0,8.22
24,BUILDING 21,40.0536310003,-75.1524810003661,schools,pedestrian,0.28,7.77
25,GENERAL LOUIS WAGNER SCHOOL,40.0517474803904,-75.1476796206116,schools,pedestrian,0.5,14.05
26,OMBUDSMAN NORTHWEST,40.0559490453277,-75.15647125520358,schools,pedestrian,0.44,12.6
27,IMHOTEP INSTITUTE CHARTER HIGH SCHOOL,40.0494270004526,-75.1547169995902,schools,pedestrian,0.1,2.73
28,MASTERY CHARTER SCHOOL AT PASTORIUS,40.0482079997674,-75.1614239994098,schools,pedestrian,0.49,13.82
29,PRINCE HALL SCHOOL,40.0477074202454,-75.1495605206067,schools,pedestrian,0.4,11.32
30,ANNA B. DAY SCHOOL,40.058406820418895,-75.1683346406611,schools,bicycle,1.22,10.68
31,ELLWOOD SCHOOL,40.0550249498537,-75.1385380940791,schools,bicycle,1.17,9.48
32,ELEANOR C. EMLEN SCHOOL,40.05436289023661,-75.1779057294733,schools,bicycle,1.79,14.57
33,PHILADELPHIA HIGH SCHOOL FOR GIRLS,40.0387049134426,-75.1452251593178,schools,bicycle,1.16,8.75
34,CAMELOT THERAPEUTIC DAY SCHOOL,40.0335546772673,-75.17623601067679,schools,bicycle,1.83,14.45
35,BUILDING 21,40.0536310003,-75.1524810003661,schools,bicycle,0.28,2.55
