,name,lat,lng,category,mode,dist,time
0,Clark Park,39.949541,-75.209259,farmers_markets,pedestrian,0.21,6.07
1,Sankofa Community Farm at Bartram’s Garden,39.933489,-75.21556899999999,farmers_markets,bicycle,1.58,12.12
2,58th & Chester,39.942579,-75.22590500000003,farmers_markets,bicycle,1.24,9.17
3,52nd & Haverford,39.964895,-75.224589,farmers_markets,bicycle,1.63,12.2
4,Clark Park,39.949541,-75.209259,farmers_markets,bicycle,0.29,2.17
5,Greensgrow West,39.948006,-75.226321,farmers_markets,bicycle,0.98,7.05
6,University Square,39.953142,-75.194786,farmers_markets,bicycle,1.29,9.88
7,W. Philly YMCA Market,39.958132,-75.223548,farmers_markets,bicycle,1.09,8.87
8,Walnut Hill,39.958305,-75.21352399999998,farmers_markets,bicycle,0.67,6.25
9,Mill Creek Farm,39.966315,-75.21891,farmers_markets,bicycle,1.44,11.52
10,46th and Baltimore,39.948619,-75.215032,commercial,pedestrian,0.38,10.47
11,48th and Spruce,39.953383,-75.218384,commercial,pedestrian,0.47,13.03
12,36th Street and vicinity,39.954376,-75.195549,commercial,bicycle,1.15,8.92
13,40th Street and vicinity,39.954556,-75.202924,commercial,bicycle,0.83,7.07
14,40th and Lancaster,39.964919,-75.204464,commercial,bicycle,1.24,11.08
15,South and Grays Ferry,39.945052,-75.179601,commercial,bicycle,1.9,14.97
16,Chester Avenue,39.938468,-75.224226,commercial,bicycle,1.29,9.68
17,30th Street,39.954473,-75.183926,commercial,bicycle,1.9,14.22
18,48th and Brown,39.966996,-75.216138,commercial,bicycle,1.44,11.32
19,Lancaster and Girard,39.973267,-75.21824000000002,commercial,bicycle,1.83,14.8
20,49th and Woodland,39.941741,-75.211608,commercial,bicycle,0.84,6.63
21,58th and Baltimore,39.945551,-75.238553,commercial,bicycle,1.7,12.57
22,55th and Baltimore,39.947054,-75.233897,commercial,bicycle,1.39,10.15
23,50th and Baltimore,39.947751,-75.223382,commercial,bicycle,0.85,6.48
24,46th and Baltimore,39.948619,-75.215032,commercial,bicycle,0.38,3.07
25,30th and Grays Ferry,39.941261,-75.19424599999998,commercial,bicycle,1.87,14.75
26,54th and Woodland,39.93593900000001,-75.21892,commercial,bicycle,1.43,11.27
27,58th and Florence,39.938925,-75.231955,commercial,bicycle,1.67,12.32
28,52nd and Chester,39.941887,-75.220246,commercial,bicycle,0.96,7.17
29,46th Street and vicinity,39.956812,-75.213909,commercial,bicycle,0.62,4.95
30,48th and Spruce,39.953383,-75.218384,commercial,bicycle,0.47,3.57
31,36th and Lancaster,39.95953400000001,-75.195062,commercial,bicycle,1.4,11.05
32,56th and Spruce,39.955192,-75.233825,commercial,bicycle,1.29,9.48
33,52nd and Cedar,39.950701,-75.226511,commercial,bicycle,1.03,7.68
34,52nd Street,39.958026,-75.224926,commercial,bicycle,1.18,8.87
35,56th and Cedar,39.950351,-75.234827,commercial,bicycle,1.5,10.95
36,56th and Market ,39.960417,-75.233845,commercial,bicycle,1.71,12.95
37,60th and Cedar,39.952659,-75.242457,commercial,bicycle,1.89,13.7
38,SADIE ALEXANDER SCHOOL,39.9530989999409,-75.2081869999629,schools,pedestrian,0.24,6.83
39,HENRY C. LEA SCHOOL,39.9545149995956,-75.2163470005439,schools,pedestrian,0.48,13.17
40,BELMONT ACADEMY CHARTER SCHOOL,39.9707322443329,-75.2055509793296,schools,bicycle,1.57,13.4
41,ADD B. ANDERSON SCHOOL,39.946726000326,-75.24571699986859,schools,bicycle,2.06,14.9
42,RUDOLPH BLANKENBURG SCHOOL,39.97262909898461,-75.2151434499055,schools,bicycle,1.84,14.92
43,WILLIAM C. BRYANT SCHOOL,39.95279118136421,-75.2435629997548,schools,bicycle,2.0,14.65
