name,type,lat,lng
William H (Billy) Markward Memorial Playground,NEIGHBORHOOD_PARK,39.947556,-75.18395799999999
Schuylkill Banks,NEIGHBORHOOD_PARK,39.947556,-75.18395799999999
Schuylkill River Park,NEIGHBORHOOD_PARK,39.947556,-75.18395799999999
Frankford Boat Launch,NEIGHBORHOOD_PARK,40.007162,-75.057119
Orthodox Street Park,NEIGHBORHOOD_PARK,39.991587,-75.06692
Wissahickon Valley Park,WATERSHED_PARK,40.048484,-75.22793399999999
West Fairmount Park,WATERSHED_PARK,39.996811,-75.207774
Pennypack Park,WATERSHED_PARK,40.060946,-75.04698499999999
East Fairmount Park,WATERSHED_PARK,39.983212,-75.174172
Tacony Creek Park,WATERSHED_PARK,40.031611,-75.119019
Franklin Delano Roosevelt Park,WATERSHED_PARK,39.902471999999996,-75.180044
Hunting Park,REGIONAL_PARK,40.016397999999995,-75.144178
Awbury Park and Recreation Center,NEIGHBORHOOD_PARK,40.053652,-75.163177
Fisher Park,NEIGHBORHOOD_PARK,40.044127,-75.130177
Eastwick Regional Playground,NEIGHBORHOOD_PARK,39.905142,-75.24978
Whitby Avenue Playground,NEIGHBORHOOD_PARK,39.948613,-75.249534
Holme Avenue Field,NEIGHBORHOOD_PARK,40.0586,-75.03755600000001
29th and Passyunk Park,NEIGHBORHOOD_PARK,39.921496999999995,-75.194666
Price Street Play Lot,POCKET_PARK,40.033071,-75.180103
Sedgley Woods Disc Golf Course,NEIGHBORHOOD_PARK,39.983212,-75.174172
Robert Wilson III Park,NEIGHBORHOOD_PARK,39.943031,-75.24565
Rufus O Williams Memorial Playground,NEIGHBORHOOD_PARK,39.948613,-75.249534
Al Pearlman Sports Center,NEIGHBORHOOD_PARK,40.059907,-75.241972
Lauretha Vaird Fields,NEIGHBORHOOD_PARK,40.023452,-75.11113399999999
Torresdale and Enfield Fields,NEIGHBORHOOD_PARK,40.03904,-75.02031099999999
Chamounix Tennis Courts,NEIGHBORHOOD_PARK,39.998884000000004,-75.201437
Smith Memorial Playground and Playhouse,NEIGHBORHOOD_PARK,39.983212,-75.174172
Garland and Bingham Fields,NEIGHBORHOOD_PARK,40.032938,-75.110046
Hammond and Nedro Fields,NEIGHBORHOOD_PARK,40.039278,-75.116726
Fox Chase School Playground,NEIGHBORHOOD_PARK,40.074578,-75.08273100000001
Wissahickon Environmental Center,NEIGHBORHOOD_PARK,40.078571999999994,-75.238087
Ford Road Playground,NEIGHBORHOOD_PARK,39.999664,-75.207305
82nd and Lyons Park,NEIGHBORHOOD_PARK,39.897101,-75.24531800000001
Verree and Susquehanna Playground,NEIGHBORHOOD_PARK,40.079799,-75.068738
Jose Manuel Collazo Park,NEIGHBORHOOD_PARK,39.99975,-75.130943
Frankford and Solly Playground,NEIGHBORHOOD_PARK,40.043777,-75.021277
26th and Pennsylvania Playground,POCKET_PARK,39.969772,-75.182152
60th and Baltimore Park,POCKET_PARK,39.944659,-75.244093
Rainbow De Colores Playground,POCKET_PARK,39.986846,-75.141695
10th and Lemon Playground,POCKET_PARK,39.963531,-75.15490799999999
47th and Grays Ferry Park,POCKET_PARK,39.941412,-75.20883
Butler and Percy Play Lot,POCKET_PARK,40.010018,-75.143218
Horton Street Play Lot,POCKET_PARK,39.966265,-75.243282
45th and Sansom Tot Lot,POCKET_PARK,39.95585,-75.211519
Lawrence Street Playground,POCKET_PARK,39.965352,-75.145255
Webb Street Play Lot,POCKET_PARK,39.976668,-75.117993
Hunting Park Recreation Center,NEIGHBORHOOD_PARK,40.016397999999995,-75.144178
Belmont Plateau,REGIONAL_PARK,39.987265,-75.216149
Edgley Fields,NEIGHBORHOOD_PARK,39.983212,-75.174172
Dairy Fields,NEIGHBORHOOD_PARK,39.983212,-75.174172
Salvatore Pachella Memorial Field,NEIGHBORHOOD_PARK,40.04593,-75.217841
Belmont and Edgley Fields,NEIGHBORHOOD_PARK,39.996811,-75.207774
David P Montgomery Field,NEIGHBORHOOD_PARK,40.024475,-75.203174
Dell Music Center,NEIGHBORHOOD_PARK,39.994551,-75.19184
Sweetbriar Fields,NEIGHBORHOOD_PARK,39.977235,-75.20203000000001
Ohio House Fields,NEIGHBORHOOD_PARK,39.982836999999996,-75.219448
Chamounix Fields North,NEIGHBORHOOD_PARK,39.998884000000004,-75.201437
Chamounix Fields South,NEIGHBORHOOD_PARK,39.998884000000004,-75.201437
John F Boyce Memorial Field,NEIGHBORHOOD_PARK,40.031423,-75.20771500000001
Arrow Field,NEIGHBORHOOD_PARK,40.029445,-75.204719
Pennypack Environmental Center,NEIGHBORHOOD_PARK,40.090187,-75.057213
Cobbs Creek Golf Club,WATERSHED_PARK,39.96907,-75.263812
Pennypack on the Delaware,WATERSHED_PARK,40.029823,-75.011486
Fox Chase Farm,REGIONAL_PARK,40.090061,-75.070035
Morris Park,REGIONAL_PARK,39.983939,-75.257112
Juniata Golf Club,REGIONAL_PARK,40.014715,-75.106927
Walnut Lane Golf Club,REGIONAL_PARK,40.03015,-75.203551
Walton Run,REGIONAL_PARK,40.084202000000005,-74.990155
John F Byrne Golf Club,REGIONAL_PARK,40.061367,-75.00137600000001
Joseph C Fluehr Memorial Park,REGIONAL_PARK,40.054712,-74.98983100000001
