lat,lng,name,type
39.934378,-75.188873,Schuylkill Banks,NEIGHBORHOOD_PARK
39.943541,-75.186816,Schuylkill River Park,NEIGHBORHOOD_PARK
40.008421,-75.070309,Frankford Boat Launch,NEIGHBORHOOD_PARK
40.013018,-75.082201,Orthodox Street Park,NEIGHBORHOOD_PARK
40.046641,-75.230602,Wissahickon Valley Park,WATERSHED_PARK
39.952399,-75.16359,West Fairmount Park,WATERSHED_PARK
39.952399,-75.16359,Pennypack Park,WATERSHED_PARK
39.952399,-75.16359,East Fairmount Park,WATERSHED_PARK
39.952399,-75.16359,Tacony Creek Park,WATERSHED_PARK
39.918164,-75.171111,Franklin Delano Roosevelt Park,WATERSHED_PARK
40.015326,-75.155127,Hunting Park,REGIONAL_PARK
40.070248,-75.193335,Awbury Park and Recreation Center,NEIGHBORHOOD_PARK
40.043857,-75.126987,Fisher Park,NEIGHBORHOOD_PARK
39.905459,-75.24936,Eastwick Regional Playground,NEIGHBORHOOD_PARK
39.922137,-75.188053,29th and Passyunk Park,NEIGHBORHOOD_PARK
40.032992,-75.179961,Price Street Play Lot,POCKET_PARK
40.047617,-75.253919,Al Pearlman Sports Center,NEIGHBORHOOD_PARK
39.899503,-75.245681,82nd and Lyons Park,NEIGHBORHOOD_PARK
39.935809,-75.146165,Jose Manuel Collazo Park,NEIGHBORHOOD_PARK
39.948393,-75.219229,60th and Baltimore Park,POCKET_PARK
39.952399,-75.16359,Rainbow De Colores Playground,POCKET_PARK
39.963588,-75.157336,10th and Lemon Playground,POCKET_PARK
39.940425,-75.210562,47th and Grays Ferry Park,POCKET_PARK
40.010074,-75.144981,Butler and Percy Play Lot,POCKET_PARK
39.965481,-75.243562,Horton Street Play Lot,POCKET_PARK
39.953755,-75.193418,45th and Sansom Tot Lot,POCKET_PARK
39.961166,-75.145768,Lawrence Street Playground,POCKET_PARK
39.976393,-75.118161,Webb Street Play Lot,POCKET_PARK
40.025676,-75.031633,Pennypack on the Delaware,WATERSHED_PARK
