address,zip,name,type
400 S TANEY ST,19146,William H (Billy) Markward Memorial Playground,NEIGHBORHOOD_PARK
400 S TANEY ST,19103,Schuylkill Banks,NEIGHBORHOOD_PARK
400 S TANEY ST,19146,Schuylkill River Park,NEIGHBORHOOD_PARK
5625 TACONY ST,19137,Frankford Boat Launch,NEIGHBORHOOD_PARK
3101 ORTHODOX ST,19137,Orthodox Street Park,NEIGHBORHOOD_PARK
,19128,Wissahickon Valley Park,WATERSHED_PARK
 ,19131,West Fairmount Park,WATERSHED_PARK
 ,19152,Pennypack Park,WATERSHED_PARK
 ,19121,East Fairmount Park,WATERSHED_PARK
 ,19120,Tacony Creek Park,WATERSHED_PARK
3500 S BROAD ST,19145,Franklin Delano Roosevelt Park,WATERSHED_PARK
1101 W HUNTING PARK AVE,19140,Hunting Park,REGIONAL_PARK
6101 ARDLEIGH ST,19138,Awbury Park and Recreation Center,NEIGHBORHOOD_PARK
572 W SPENCER ST,19120,Fisher Park,NEIGHBORHOOD_PARK
7899 MERCURY PL,19153,Eastwick Regional Playground,NEIGHBORHOOD_PARK
1300 COBBS CREEK PKY,19143,Whitby Avenue Playground,NEIGHBORHOOD_PARK
2761 HOLME AVE,19152,Holme Avenue Field,NEIGHBORHOOD_PARK
2827 W PASSYUNK AVE,19145,29th and Passyunk Park,NEIGHBORHOOD_PARK
185 W PRICE ST,19144,Price Street Play Lot,POCKET_PARK
3400 RESERVOIR DR,19121,Sedgley Woods Disc Golf Course,NEIGHBORHOOD_PARK
6100 BALTIMORE AVE,19143,Robert Wilson III Park,NEIGHBORHOOD_PARK
700 COBBS CREEK PKY,19143,Rufus O Williams Memorial Playground,NEIGHBORHOOD_PARK
600 PORT ROYAL AVE,19128,Al Pearlman Sports Center,NEIGHBORHOOD_PARK
4800 WHITAKER AVE,19120,Lauretha Vaird Fields,NEIGHBORHOOD_PARK
4600 ENFIELD AVE,19136,Torresdale and Enfield Fields,NEIGHBORHOOD_PARK
3601 CHAMOUNIX DR,19131,Chamounix Tennis Courts,NEIGHBORHOOD_PARK
3418 SMITH MEMORIAL DR,19121,Smith Memorial Playground and Playhouse,NEIGHBORHOOD_PARK
5153 E TABOR RD,19120,Garland and Bingham Fields,NEIGHBORHOOD_PARK
