lat,lng,name,type,grade
-75.23146859453509,39.9878565379559,LABORATORY CHARTER SCHOOL OF COMMUNICATIONS/DESIGN (ANNEX),CHARTER,ELEMENTARY/MIDDLE
-75.2430437606572,39.988180899727,LABORATORY CHARTER SCHOOL OF COMMUNICATIONS/DESIGN (ANNEX),CHARTER,ELEMENTARY SCHOOL
-75.210184742915,40.0792677889648,OUR MOTHER CONSOLATION,ARCHDIOCESE,ELEMENTARY/MIDDLE
-75.1887167719836,40.0617500903787,HOLY CROSS SCHOOL,ARCHDIOCESE,ELEMENTARY/MIDDLE
-75.0302332578359,40.0556500409221,ST JEROME SCHOOL,ARCHDIOCESE,ELEMENTARY/MIDDLE
-75.06244807550729,40.0534000964871,RESURRECTION REGIONAL CATHOLIC SCHOOL,ARCHDIOCESE,ELEMENTARY/MIDDLE
-75.02339710901829,40.0482015679232,FATHER JUDGE HIGH SCHOOL,ARCHDIOCESE,HIGH SCHOOL
-75.12833298101641,40.0443545317559,ST HELENA SCHOOL,ARCHDIOCESE,ELEMENTARY/MIDDLE
-75.23789552391871,39.975081068642794,ST ROSE OF LIMA SCHOOL,ARCHDIOCESE,ELEMENTARY/MIDDLE
-75.2345361262136,40.0644207716868,IMMACULATE HEART OF MARY SCHOOL,ARCHDIOCESE,ELEMENTARY/MIDDLE
-75.1540868690401,40.061700347145,ST ATHANASIUS IMMACULATE CONCEPTION SCHOOL,ARCHDIOCESE,ELEMENTARY/MIDDLE
-75.0812831658849,40.0770883747249,ST CECILIA SCHOOL,ARCHDIOCESE,ELEMENTARY/MIDDLE
-75.16956467831879,39.9955553167013,ST MARTIN DE PORRES SCHOOL,ARCHDIOCESE,ELEMENTARY/MIDDLE
-75.10201897353001,39.9849626738383,OUR LADY OF PORT RICHMOND SCHOOL,ARCHDIOCESE,ELEMENTARY/MIDDLE
-74.97370675354409,40.1022609914693,ST ANSELM ELEMENTARY SCHOOL,ARCHDIOCESE,ELEMENTARY/MIDDLE
-75.0100354694662,40.124454772126,ST CHRISTOPHER SCHOOL,ARCHDIOCESE,ELEMENTARY/MIDDLE
-74.98669574197,40.0851860288387,ARCHBISHOP RYAN HIGH SCHOOL,ARCHDIOCESE,HIGH SCHOOL
-75.1743995489158,39.9193230251614,ST MONICA SENIOR SCHOOL,ARCHDIOCESE,ELEMENTARY/MIDDLE
-75.17753582292629,40.0051788834434,MERCY VOCATIONAL HIGH SCHOOL,ARCHDIOCESE,HIGH SCHOOL
-75.1531453412673,39.974149428885,ST MALACHY SCHOOL,ARCHDIOCESE,ELEMENTARY/MIDDLE
-75.08675900729929,40.031711660354794,ST MARTIN OF TOURS SCHOOL,ARCHDIOCESE,ELEMENTARY/MIDDLE
-74.992932196987,40.059910013187206,ST KATHERINE SIENA SCHOOL,ARCHDIOCESE,ELEMENTARY/MIDDLE
-75.2095231140398,39.963914115985496,OUR MOTHER OF SORROWS/ST IGNATIUS OF LOYOLA SCHOOL,PRIVATE,ELEMENTARY/MIDDLE
-74.9878482048175,40.0807023824213,"LA BRUM, GENERAL J. HARRY",DISTRICT,MIDDLE SCHOOL
-75.2270123926421,39.9219763260105,ST. BARNABAS CATHOLIC SCHOOL,ARCHDIOCESE,ELEMENTARY/MIDDLE
-75.1937063110972,39.9352689899382,ST GABRIEL SCHOOL,ARCHDIOCESE,ELEMENTARY/MIDDLE
-75.0155766690051,40.04690457217,ST DOMINIC SCHOOL,ARCHDIOCESE,ELEMENTARY/MIDDLE
-75.2154946674252,39.947776065754795,ST FRANCIS DESALES SCHOOL,ARCHDIOCESE,ELEMENTARY/MIDDLE
-75.16292789656,39.927391528025105,SS JOHN NEUMANN AND MARIA GORETTI CATHOLIC HIGH SCHOOL,ARCHDIOCESE,HIGH SCHOOL
-75.03432409146359,40.0313555515891,ST HUBERTS CATHOLIC HIGH SCHOOL,ARCHDIOCESE,HIGH SCHOOL
-75.1267938941637,39.9898944207634,VISITATION SCHOOL,ARCHDIOCESE,ELEMENTARY/MIDDLE
-75.21169559572691,39.9572541565741,WEST PHILADELPHIA CATHOLIC HIGH SCHOOL,ARCHDIOCESE,HIGH SCHOOL
-75.1746922698452,39.930402025072,ST THOMAS AQUINAS SCHOOL,ARCHDIOCESE,ELEMENTARY/MIDDLE
-75.1671178291817,40.0719914409471,ST RAYMOND SCHOOL,ARCHDIOCESE,ELEMENTARY/MIDDLE
-75.0604271292593,40.0307935155365,BLESSED TRINITY REGIONAL CATHOLIC SCHOOL,ARCHDIOCESE,ELEMENTARY/MIDDLE
-75.1448766839455,39.96959447530921,ST PETER THE APOSTLE SCHOOL,ARCHDIOCESE,ELEMENTARY/MIDDLE
-75.0499678868547,40.041441349462204,ST MATTHEW SCHOOL,ARCHDIOCESE,ELEMENTARY/MIDDLE
-75.12965629280859,39.97677685859421,ST LAURENTIUS SCHOOL,ARCHDIOCESE,ELEMENTARY/MIDDLE
-75.2491359095265,39.9695120054944,ST FRANCES CABRINI,ARCHDIOCESE,ELEMENTARY/MIDDLE
-75.1782862472035,39.9135616217129,ST PIO CATHOLIC REGIONAL SCHOOL,ARCHDIOCESE,ELEMENTARY/MIDDLE
-75.0665327640685,40.0350321062755,SYLVAN LEARNING CENTER,PRIVATE,TUTORING
-74.97727226327291,40.092660686134295,DELTA SCHOOL,PRIVATE,ELEMENTARY/MIDDLE/HIGH
-75.2148630772767,40.0805084250001,NORWOOD FONTBONNE ACADEMY,PRIVATE,ELEMENTARY/MIDDLE
-75.208283252234,40.062161987466105,SPRINGSIDE CHESTNUT HILL ACADEMY,PRIVATE,ELEMENTARY/MIDDLE/HIGH
-75.212832282802,40.0608212756678,SPRINGSIDE CHESTNUT HILL ACADEMY,PRIVATE,ELEMENTARY/MIDDLE/HIGH
-75.2055509793296,39.9707322443329,BELMONT ACADEMY CHARTER SCHOOL,CHARTER,ELEMENTARY SCHOOL
-75.01711570126629,40.1048749663119,PHILADELPHIA ACADEMY CHARTER SCHOOL,CHARTER,HIGH SCHOOL
-75.1613770301658,39.978688461377004,ALLIANCE FOR PROGRESS CHARTER SCHOOL (ANNEX),CHARTER,ELEMENTARY SCHOOL
-75.09223428081529,40.049450204609606,CEDAR GROVE CHRISTIAN ACADEMY LOWER SCHOOL,PRIVATE,ELEMENTARY/MIDDLE
-75.1481419995917,39.9426797313601,ST PETERS SCHOOL,PRIVATE,ELEMENTARY/MIDDLE
-75.1052292209137,40.036320377211794,TIMOTHY ACADEMY,PRIVATE,ELEMENTARY/MIDDLE
-75.16489639143391,39.97315271672,ST JOSEPH'S PREPARATORY SCHOOL,PRIVATE,HIGH SCHOOL
-75.21372365717771,39.9487429768827,FAITH CONNECTION CHRISTIAN ACADEMY,PRIVATE,ELEMENTARY/MIDDLE/HIGH
-75.04700186525079,40.107118891923704,RED LION ELEMENTARY SCHOOL,PRIVATE,ELEMENTARY SCHOOL
-74.9868704023892,40.1047005072212,MERAKEY AUTISM CENTER- PHILADELPHIA,PRIVATE,ELEMENTARY/MIDDLE/HIGH
-74.9856698002481,40.0600034503616,ALPHA HOUSE NURSERY & KINDERGARTEN,PRIVATE,KINDERGARTEN
-74.9934276158629,40.0580755113245,ALL SAINTS EPISCOPAL SCHOOL,PRIVATE,KINDERGARTEN
-75.09400767392991,40.016696251261,BRIDGE SCHOOL,PRIVATE,VO-TECH
-75.2113542945407,39.9554768511563,ISLAMIC EDUCATION SCHOOL,PRIVATE,ELEMENTARY/MIDDLE
-75.2433344111897,39.960552634375794,KIDS WORLD CHRISTIAN EDUCATION CENTER- WEST PHILADELPHIA,PRIVATE,ELEMENTARY SCHOOL
-75.25243405189029,39.971953719736206,SHEPHERDS CHRISTIAN ACADEMY,PRIVATE,ELEMENTARY SCHOOL
-75.21852143204521,39.9375247953719,LITTLE FOOTSTEPS ISLAM INSTITUTE,PRIVATE,ELEMENTARY/MIDDLE
-75.18592613436671,40.022700146796296,WILLIAM PENN CHARTER SCHOOL,PRIVATE,ELEMENTARY/MIDDLE/HIGH
-75.22238305951001,39.9544048857297,BEULAH BAPTIST CHRISTIAN DAY SCHOOL,PRIVATE,ELEMENTARY/MIDDLE
-75.0871964258082,40.0153504025372,FRANKFORD FRIENDS SCHOOL,PRIVATE,ELEMENTARY/MIDDLE
-75.18356851193509,40.0490596708671,PROJECT LEARN,PRIVATE,ELEMENTARY/MIDDLE
-75.1721218692185,40.0426968743007,LOTUS ACADEMY,PRIVATE,ELEMENTARY/MIDDLE
-75.1817422608745,39.91012220811471,CALVARY TEMPLE CHRISTIAN ACADEMY,PRIVATE,ELEMENTARY/MIDDLE
-75.186789567799,39.9405988885602,CROOKED PLACES MADE STRAIGHT,PRIVATE,ELEMENTARY/MIDDLE/HIGH
-75.1496123142232,39.9460512201418,ST MARYS INTERPAROCHIAL SCHOOL,ARCHDIOCESE,ELEMENTARY/MIDDLE
-74.98504906731651,40.0875779879744,ST MARTHA SCHOOL,ARCHDIOCESE,ELEMENTARY/MIDDLE
-75.0389922012731,40.0819229624843,MATERNITY BVM SCHOOL,ARCHDIOCESE,ELEMENTARY/MIDDLE
-74.9782966562491,40.0793024160416,OUR LADY OF CALVARY SCHOOL,ARCHDIOCESE,ELEMENTARY/MIDDLE
-74.995300520648,40.075282314099205,CHRIST THE KING SCHOOL,ARCHDIOCESE,ELEMENTARY/MIDDLE
-75.1590713674662,39.9422351863346,BEGINNINGS LEARNING CENTER,PRIVATE,PRE-SCHOOL
-75.2082188021773,39.9488189675549,JUBILEE SCHOOL,PRIVATE,ELEMENTARY SCHOOL
-75.2179484763673,39.9617355757949,MILL CREEK SCHOOL,PRIVATE,HIGH SCHOOL
-75.24743924062601,39.9878413642374,IJOBA SHULE,PRIVATE,ELEMENTARY/MIDDLE
-75.0564307987723,40.043775544505,NORTHEAST CENTRAL CHRISTIAN SCHOOL,PRIVATE,ELEMENTARY SCHOOL
-75.0784588275082,40.0403856388477,CRYSTAL RIVER ACADEMY,PRIVATE,ELEMENTARY/MIDDLE
-75.101378450721,40.012116013520206,HOLY INNOCENTS SCHOOL,ARCHDIOCESE,ELEMENTARY/MIDDLE
-75.10162571958709,40.0112199977284,ST LUCY DAY SCHOOL FOR CHILDREN WITH VISUAL IMPAIRMENTS,ARCHDIOCESE,ELEMENTARY/MIDDLE
-75.15634015086091,40.006952641237,SPRING GARDEN ACAD - TIOGA,PRIVATE,ELEMENTARY/MIDDLE
-75.1578452065798,40.0025120945378,THANKFUL LEARNING CENTER INC,PRIVATE,PRE-SCHOOL
-75.1677433190404,39.9727268103772,EDUCATION IS THE KEY LEARNING CENTER,PRIVATE,ELEMENTARY/MIDDLE
-75.1449084206822,40.0400171762783,TARBIYATUL ILM ACADEMY INC.,PRIVATE,ELEMENTARY/MIDDLE
-75.1632716353416,40.0417409275454,KIDS WORLD CHRISTIAN EDUCATION CENTER- GERMANTOWN,PRIVATE,ELEMENTARY SCHOOL
-75.1824844048213,40.0042584778552,ST JAMES SCHOOL,PRIVATE,MIDDLE SCHOOL
-75.1860929984701,40.0016639565571,PRODIGY LEARNING CENTERS,PRIVATE,ELEMENTARY SCHOOL
-75.149213667455,40.0521002376697,MT AIRY CHRISTIAN DAY SCHOOL,PRIVATE,PRE-SCHOOL
-75.15585343092499,40.0476815439461,ADELAIDE EDUCATIONAL ACADEMY CENTER,PRIVATE,ELEMENTARY SCHOOL
-75.13992135149141,40.0410168587033,SAINTS TABERNACLE DAY SCHOOL,PRIVATE,ELEMENTARY/MIDDLE
-75.14505461959891,40.0286502671423,LOGAN HOPE SCHOOL,PRIVATE,ELEMENTARY/MIDDLE
-75.15233599995742,39.9502520000276,CONSTITUTION HIGH SCHOOL,DISTRICT,HIGH SCHOOL
-75.1148200223767,39.9944190479345,RUSSELL H. CONWELL SCHOOL,DISTRICT,MIDDLE SCHOOL
-75.1460740001465,40.025526000187504,JAY COOKE SCHOOL,DISTRICT,ELEMENTARY/MIDDLE
-75.2068019997144,40.0224720000888,COOK-WISSAHICKON SCHOOL,DISTRICT,ELEMENTARY/MIDDLE
-75.12993625036741,40.0026291206135,WILLIAM CRAMP SCHOOL,DISTRICT,ELEMENTARY SCHOOL
-75.16548375023379,39.93941992019921,HIGH SCHOOL FOR CREATIVE AND PERFORMING ARTS SCHOOL,DISTRICT,HIGH SCHOOL
-75.0813314616159,40.0621902887023,KENNEDY C. CROSSAN SCHOOL,DISTRICT,ELEMENTARY SCHOOL
-75.1683346406611,40.058406820418895,ANNA B. DAY SCHOOL,DISTRICT,ELEMENTARY/MIDDLE
-75.1386274300872,39.9927516402774,JULIA DE BURGOS SCHOOL,DISTRICT,ELEMENTARY/MIDDLE
-74.9705349994652,40.095818000413296,STEPHEN DECATUR SCHOOL,DISTRICT,ELEMENTARY/MIDDLE
-75.17378700035209,39.9867299995588,WILLIAM DICK SCHOOL,DISTRICT,ELEMENTARY/MIDDLE
-75.0465890400023,40.0283691102385,HAMILTON DISSTON SCHOOL,DISTRICT,ELEMENTARY/MIDDLE
-75.1668959217613,39.9951425235826,MURRELL DOBBINS CAREER AND TECHNICAL HIGH SCHOOL,DISTRICT,HIGH SCHOOL
-75.2306716306961,40.031475359549496,JAMES DOBSON SCHOOL,DISTRICT,ELEMENTARY/MIDDLE
-75.1589535680948,39.9853056434017,TANNER G. DUCKREY SCHOOL,DISTRICT,ELEMENTARY/MIDDLE
-75.1541697395967,39.9794877297917,PAUL L. DUNBAR SCHOOL,DISTRICT,ELEMENTARY/MIDDLE
-75.1294424968469,40.011854510011894,THOMAS A. EDISON HIGH SCHOOL,DISTRICT,HIGH SCHOOL
-75.1709998691682,40.072961257233096,FRANKLIN S. EDMONDS SCHOOL,DISTRICT,ELEMENTARY/MIDDLE
-75.12127399937779,39.9970180005438,LEWIS ELKIN SCHOOL,DISTRICT,ELEMENTARY SCHOOL
-75.1385380940791,40.0550249498537,ELLWOOD SCHOOL,DISTRICT,ELEMENTARY SCHOOL
-75.1779057294733,40.054362890236604,ELEANOR C. EMLEN SCHOOL,DISTRICT,ELEMENTARY SCHOOL
-75.1612778907416,39.9834180895182,HIGH SCHOOL OF ENGINEERING AND SCIENCE,DISTRICT,MIDDLE/HIGH
-75.0524147597251,40.0665716200306,LOUIS H. FARRELL SCHOOL,DISTRICT,ELEMENTARY/MIDDLE
-75.16310735867691,39.9154511155284,D. NEWLIN FELL SCHOOL,DISTRICT,ELEMENTARY/MIDDLE
-75.0917070912305,40.0356498559299,SAMUEL FELS HIGH SCHOOL,DISTRICT,HIGH SCHOOL
-75.1216749993245,40.0194369997541,FELTONVILLE SCHOOL OF ARTS AND SCIENCES,DISTRICT,MIDDLE SCHOOL
-75.1210256402893,40.020340020324895,FELTONVILLE INTERMEDIATE SCHOOL,DISTRICT,ELEMENTARY SCHOOL
-75.1191760006802,40.0436080000095,THOMAS K. FINLETTER SCHOOL,DISTRICT,ELEMENTARY/MIDDLE
-75.1663373296687,40.026100520364,FITLER ACADEMICS PLUS SCHOOL,DISTRICT,ELEMENTARY/MIDDLE
-74.97652900031659,40.0803060002588,A.L. FITZPATRICK SCHOOL,DISTRICT,ELEMENTARY/MIDDLE
-75.0358909997947,40.0344399997797,EDWIN FORREST SCHOOL,DISTRICT,ELEMENTARY SCHOOL
-75.08079432150559,40.0748566048441,FOX CHASE SCHOOL,DISTRICT,ELEMENTARY SCHOOL
-75.1586546170628,39.9386082230515,CHRISTOPHER COLUMBUS CS (ANNEX),CHARTER,ELEMENTARY SCHOOL
-75.1768661232362,39.9665718175349,ST FRANCIS XAVIER SCHOOL,ARCHDIOCESE,ELEMENTARY/MIDDLE
-75.1694325940967,39.9598978583187,JOHN W HALLAHAN GIRLS SCHOOL,ARCHDIOCESE,HIGH SCHOOL
-75.16196419757091,39.958299539482205,ROMAN CATHOLIC HIGH SCHOOL,ARCHDIOCESE,HIGH SCHOOL
-75.15498473438029,39.9575498285387,HOLY REDEEMER SCHOOL,ARCHDIOCESE,ELEMENTARY/MIDDLE
-75.1447160851647,40.013520718632705,LITTLE FLOWER CATHOLIC SCHOOL,ARCHDIOCESE,HIGH SCHOOL
-75.1016101545592,40.0116962833862,ARCHBISHOP RYAN SCH HARD OF HEARING CHILDREN,ARCHDIOCESE,ELEMENTARY/MIDDLE
-75.138975382081,40.0049121200134,ST VERONICA SCHOOL,ARCHDIOCESE,ELEMENTARY/MIDDLE
-75.0933487825484,39.9885891059156,ST GEORGE SCHOOL,ARCHDIOCESE,ELEMENTARY/MIDDLE
-75.1102740466289,39.981496262265395,MOTHER DIVINE GRACE SCHOOL,ARCHDIOCESE,ELEMENTARY/MIDDLE
-74.9859257449239,40.0568090089146,NAZARETH ACADEMY GRADE SCHOOL,PRIVATE,ELEMENTARY/MIDDLE
-74.9876275205726,40.0591431066216,NAZARETH ACADEMY HIGH SCHOOL,PRIVATE,HIGH SCHOOL
-75.12907671269409,39.978756643309296,BETHEL BAPTIST ACADEMY,PRIVATE,ELEMENTARY/MIDDLE/HIGH
-75.2425202924685,39.920063946582204,GREATER HOPE CHRISTIAN ACADEMY,PRIVATE,ELEMENTARY/MIDDLE/HIGH
-75.2112907706715,40.0029371586559,EASTER SEALS OF SE PA - JOSEPH X. YAFFE CENTER,PRIVATE,SPECIAL CENTER
-75.21036338998991,40.003520911828296,K W REED CHRISTIAN ACADEMY FOR BOYS,PRIVATE,ELEMENTARY/MIDDLE
-75.18533108717759,39.9812717134156,COMMUNITY PARTNERSHIP SCHOOL,PRIVATE,ELEMENTARY SCHOOL
-75.1757029029778,39.9828042678737,WHITE DOVE PERFORMING ARTS ACADEMY,PRIVATE,ELEMENTARY/MIDDLE/HIGH
-75.1643553175934,39.973706911764005,GESU SCHOOL,PRIVATE,ELEMENTARY/MIDDLE
-75.16051498772549,39.971843453491296,PHILADELPHIA ACADEMIC SCHOOL,PRIVATE,HIGH SCHOOL
